event_num,event_time,deadtime,l1hit,l2hit,l3hit,l4hit,r1hit,r2hit,r3hit,r4hit,SCh0,SCh1,SCh2,SCh3,SCh4,SCh5,SCh6,SCh7,SCh8,SCh9,SCh10,SCh11,L1,R1,L2,R2,L3,R3,L4,R4,sumL1,sumL2,sumL3,sumL4,diffL1,diffL2,diffL3,diffL4,asymL1,asymL2,asymL3,asymL4,numLHit
0,2020-11-20 14:54:05.446779,1183,1,1,1,0,0,1,1,0,1,16,13,0,9,8,14,13,15,14,8,4,132.0,,91.0,125.0,100.0,107.0,,,,216.0,207.0,,,-34.0,-7.0,,,-0.1574074074074074,-0.033816425120772944,,6
1,2020-11-20 14:54:05.997113,672,0,1,1,1,1,1,1,1,1,67,94,0,34,38,43,49,47,48,31,32,,120.0,116.0,90.0,78.0,128.0,122.0,67.0,,206.0,206.0,189.0,,26.0,-50.0,55.0,,0.1262135922330097,-0.24271844660194175,0.291005291005291,8
2,2020-11-20 14:54:06.316795,730,1,0,1,1,1,1,1,0,1,38,45,0,21,22,19,22,39,33,15,17,90.0,134.0,,130.0,122.0,88.0,130.0,,224.0,,210.0,,-44.0,,34.0,,-0.19642857142857142,,0.1619047619047619,,7
3,2020-11-20 14:54:06.457009,1199,1,0,0,0,1,0,0,0,1,13,20,0,5,3,9,9,15,15,8,6,119.0,85.0,,,,,,,204.0,,,,34.0,,,,0.16666666666666666,,,,3
4,2020-11-20 14:54:06.686852,3022,1,1,1,0,1,1,1,0,1,55,67,0,28,31,40,41,48,47,24,24,110.0,129.0,99.0,132.0,89.0,123.0,,,239.0,231.0,212.0,,-19.0,-33.0,-34.0,,-0.0794979079497908,-0.14285714285714285,-0.16037735849056603,,7
5,2020-11-20 14:54:07.086872,863,1,1,1,1,1,0,1,1,1,20,26,0,10,11,19,16,24,24,11,13,115.0,97.0,98.0,,128.0,78.0,126.0,80.0,212.0,,206.0,206.0,18.0,,50.0,46.0,0.08490566037735849,,0.24271844660194175,0.22330097087378642,8
6,2020-11-20 14:54:07.227248,888,1,1,1,1,1,1,1,1,1,19,18,0,10,7,7,9,15,12,9,8,97.0,116.0,125.0,91.0,126.0,84.0,130.0,84.0,213.0,216.0,210.0,214.0,-19.0,34.0,42.0,46.0,-0.0892018779342723,0.1574074074074074,0.2,0.21495327102803738,9
7,2020-11-20 14:54:07.447250,663,0,1,0,0,1,1,0,0,1,27,25,0,15,20,17,18,18,16,8,8,,135.0,134.0,100.0,,,,,,234.0,,,,34.0,,,,0.1452991452991453,,,4
8,2020-11-20 14:54:07.906912,1024,0,0,0,0,0,0,1,0,1,58,68,0,16,22,30,25,33,35,17,20,,,,,,122.0,,,,,,,,,,,,,,,2
9,2020-11-20 14:54:08.037198,762,0,0,0,0,0,1,0,0,1,18,25,0,4,8,9,7,18,15,10,12,,,,132.0,,,,,,,,,,,,,,,,,2
